ACCOUNT NUMBER,DATE,DESCRIPTION,debit_clean,credit_clean,balance_clean,Amount,Z_score,LeadingDigit,Rounded,Precision,Mean,Median,StdDev,K_means Cluster,Cluster Label,Weekend,Holiday,EvenDollar
,2024-10-05,Deliveroo,13.97,,4576.72,13.97,-0.26,1,False,0.9700000000000006,23.77,14.99,37.58,0,Low,True,False,False
,2024-10-07,Lunch at Itsu,6.75,,4583.47,6.75,-0.45,6,False,0.75,23.77,14.99,37.58,0,Low,False,False,False
,2024-10-09,Lunch at Waitrose,5.8,,4589.27,5.8,-0.48,5,False,0.7999999999999998,23.77,14.99,37.58,0,Low,False,False,False
,2024-10-09,Deliveroo breakfast,32.46,,4621.73,32.46,0.23,3,False,0.46000000000000085,23.77,14.99,37.58,0,Low,False,False,False
,2024-10-10,Lunch at Itsu,17.49,,4639.22,17.49,-0.17,1,False,0.48999999999999844,23.77,14.99,37.58,0,Low,False,False,False
,2024-10-10,Paul breakfast,4.25,,4643.47,4.25,-0.52,4,False,0.25,23.77,14.99,37.58,0,Low,False,False,False
,2024-10-11,Paul breakfast,3.0,,4646.47,3.0,-0.55,3,True,0.0,23.77,14.99,37.58,0,Low,False,False,False
,2024-10-11,Harrods Lunch,13.0,,4659.47,13.0,-0.29,1,True,0.0,23.77,14.99,37.58,0,Low,False,False,False
,2024-10-11,Inviting Podcast Guest (5 Guys),71.0,,4730.47,71.0,1.26,7,True,0.0,23.77,14.99,37.58,1,Medium,False,False,False
,2024-10-12,French bakery breakfast inviting Alex,13.95,,4744.42,13.95,-0.26,1,False,0.9499999999999993,23.77,14.99,37.58,0,Low,True,False,False
,2024-10-15,Itsu ,6.75,,4751.17,6.75,-0.45,6,False,0.75,23.77,14.99,37.58,0,Low,False,False,False
,2024-10-18,Itsu - Paul (Breakfast Lunch),9.35,,4760.52,9.35,-0.38,9,False,0.34999999999999964,23.77,14.99,37.58,0,Low,False,False,False
,2024-10-19,Meraki Podcast Guest,75.0,,4835.52,75.0,1.37,7,True,0.0,23.77,14.99,37.58,1,Medium,True,False,False
,2024-10-19,Deliveroo Breakfast,2.09,,4837.61,2.09,-0.58,2,False,0.08999999999999986,23.77,14.99,37.58,0,Low,True,False,False
,2024-10-21,Deliveroo Lunch,14.49,,4852.1,14.49,-0.25,1,False,0.4900000000000002,23.77,14.99,37.58,0,Low,False,False,False
,2024-10-23,Deliveroo Lunch,20.96,,4873.06,20.96,-0.07,2,False,0.9600000000000009,23.77,14.99,37.58,0,Low,False,False,False
,2024-10-24,Itsu lunch,6.75,,4879.81,6.75,-0.45,6,False,0.75,23.77,14.99,37.58,0,Low,False,False,False
,2024-10-25,Deliveroo Lunch,22.52,,4902.33,22.52,-0.03,2,False,0.5199999999999996,23.77,14.99,37.58,0,Low,False,False,False
,2024-10-26,Deliveroo breakfast,13.14,,4915.47,13.14,-0.28,1,False,0.14000000000000057,23.77,14.99,37.58,0,Low,True,False,False
,2024-10-26,Deliveroo Lunch,16.49,,4931.96,16.49,-0.19,1,False,0.48999999999999844,23.77,14.99,37.58,0,Low,True,False,False
,2024-10-27,Deliveroo breakfast,9.94,,4941.9,9.94,-0.37,9,False,0.9399999999999995,23.77,14.99,37.58,0,Low,True,False,False
,2024-11-01,Coffee - Roasting Party,3.3,,4945.2,3.3,-0.55,3,False,0.2999999999999998,23.77,14.99,37.58,0,Low,False,False,False
,2024-11-01,Deliveroo breakfast,16.55,,4961.75,16.55,-0.19,1,False,0.5500000000000007,23.77,14.99,37.58,0,Low,False,False,False
,2024-11-01,Deliveroo lunch,41.49,,5003.24,41.49,0.47,4,False,0.490000000000002,23.77,14.99,37.58,0,Low,False,False,False
